텍스트,분류 1차,분류 2차,자동 생성 제목,템플릿 코드,버튼,공용/전용,업종분류,목적분류,,,업종분류
"안녕하세요 #{수신자명}님, 이용약관이 #{일자}부터 아래와 같이 변경됨을 알려드립니다.  ▶ 개정 전 #{이전약관}  ▶ 개정 후 #{변경약관}  ※ 본 메시지는 이용약관에 동의한 회원에게 전송되는 메시지입니다.",법적고지,주문/예약,약관변경 안내,JOBER0529_1656221364576,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 회원님의 [#{휴면예정ID}] 계정이 곧 휴면계정으로 전환될 예정입니다.  개인정보 유효기간제 시행으로 #{유효기간} 이내에 로그인하지 않으시면 휴면계정으로 전환되어 더 이상 다양한 혜택을 받아 보실 수 없게 됩니다.  - 휴면 예정 ID : #{휴면예정ID}",회원,회원가입,휴면회원 전환 예정 안내,JOBER0529_1656221402816,자세히 확인하기,,서비스업,공지/안내,,,
"- 수신동의 일자 : #{수신동의일자}  수신동의를 철회하고자 하는 하는 경우 회원정보에서 미동의로 직접 변동하시거나, 고객센터로 문의하여 주시기 바랍니다.  고객님의 소중한 개인정보를 안전하게 관리하기 위하여 최선을 다하겠습니다. 감사합니다.",서비스이용,이용안내/공지,정보통신망법 제50조 8항,JOBER0529_1656221448865,자세히 확인하기,,기타,회원 관리,,,
"안녕하세요 #{수신자명}님, 요청하신 모바일로 예약하실 수 있는 링크주소를 보내드립니다.  예약 접수 비용은 #{접수비용}원이며,  방문 당일 수납해 주시면 됩니다.  감사합니다.",예약,예약상태,모바일 예약 안내,JOBER0529_1638782990106,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 입학시험 결과가 홈페이지에 발표되었습니다. 하단 ""결과보기""를 통해 확인하실 수 있습니다.  결과관련 전화상담은 금일중 순차적으로 진행됨을 알려드립니다.  감사합니다.",서비스이용,이용안내/공지,입학시험 결과 발표,JOBER0529_1638842949347,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요 #{수신자명}님, 요청하신 서비스 개편을 안내드립니다. 내용은 다음과 같습니다. #{개편사항}  감사합니다.",서비스이용,이용안내/공지,서비스 개편 안내,JOBER0529_1638842983074,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요! 출근 1시간 전입니다!  사업장 도착 시, 해당 알림에 도착 또는 1 이라고 답장해주세요.  서비스일/시간 : #{서비스일시간}   주소 : #{주소}",서비스이용,이용안내/공지,업무 안내,JOBER0529_1642983758449,자세히 확인하기,,서비스업,공지/안내,,,
#{수신자명}님께서 신청하신 서비스 이용 확인 알림톡입니다.  지금까지 이용해 주셔서 감사드립니다. 앞으로 더 좋은 서비스로 찾아뵙겠습니다!,서비스이용,이용안내/공지,서비스 이용 확인 안내,JOBER0529_1642983861019,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님께서 요청하신 서류가 준비되었습니다.  ▶서류: #{서류} ▶수령가능시간: #{수령가능시간} ▶문의전화: #{문의전화}  감사합니다.",서비스이용,방문서비스,서류 준비 완료,JOBER0529_1642984022984,자세히 확인하기,,기타,공지/안내,,,
안녕하세요 #{수신자명}님. 고객님이 등록하신 모바일 탑승권 안내 드립니다.  ▶시간: #{시간} ▶탑승권 번호: #{탑승권 번호}  시간이 지난 탑승권은 만료됩니다. 자세한 내용은 아래 버튼을 클릭해 주세요.,서비스이용,이용안내/공지,모바일 탑승권 안내,JOBER0529_1642986992602,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, 고객 서비스 개선 및 만족도 향상을 위하여 고객님의 소중한 의견을 듣고자 합니다. 아래 ""만족도조사"" 버튼을 클릭하여 간단한 설문 조사에 참여해 주시면 감사하겠습니다.  본 문자는 고객님께서 문자를 통한 설문조사에 동의해주셔서 발송되었습니다. 본 설문조사는 광고, 홍보나 판매 기타 판촉을 위한 것이 아니며 그러한 목적으로 사용되지 않습니다.  감사합니다.",서비스이용,피드백 요청,사용 만족도 조사,JOBER0529_1642987053738,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요 입니다. 내일 에 매니저가 방문 드려  정기 서비스 예정입니다.    문의사항은 아래를 눌러주세요.,서비스이용,방문서비스,정기 방문 서비스 안내,JOBER0529_1642983681556,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님이 신청하신 정기 렌탈 케어 서비스가 예정되어 있습니다. 일정을 확인해주세요.  ▶ 방문 예정일 : #{방문 예정일} ▶ 제품 : #{제품}  일정을 변경하시려면 아래를 클릭해 주세요.",서비스이용,방문서비스,정기 렌탈 케어,JOBER0529_1642983721421,자세히 확인하기,,서비스업,예약,,,
"원하시는 요청을 전달 완료했습니다.  ▶요청하신 날짜/시간: #{요청하신 날짜/시간} ▶요청 내용: #{요청 내용} ▶성함: #{성함}  요청을 수락하면, 요청하신 일정으로 예약됩니다. 감사합니다.",예약,예약완료,신청 접수 안내,JOBER0529_1642983297510,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명} 고객님,  문의가 접수되었습니다.  <신청 접수 내역> ▶접수자: #{접수자} ▶내용: #{내용}  다른 문의가 있으실 경우 아래 버튼을 클릭해 주세요.",서비스이용,신청접수,문의 접수 완료 안내,JOBER0529_1642983400613,자세히 확인하기,,기타,공지/안내,,,
고객님의 해지 신청이 정상 접수되었습니다.   ▶해지 완료 예정일: #{해지 완료 예정일}  ※ 해지 취소는 2일 이내 고객센터를 통해 가능합니다. 이후에는 해지가 진행되어 재계약을 원하시는 경우 신규 계약 신청이 필요하다는 점 유의하시기 바랍니다.,서비스이용,신청접수,해지 신청 안내,JOBER0529_1642983424365,자세히 확인하기,,금융,신청,,,
"안녕하세요 #{수신자명}님,  저희에 요청하신 #{서비스} 처리를 완료하였습니다.  지금 확인하시려면, 아래 버튼을 클릭해주세요.  감사합니다.",서비스이용,이용안내/공지,처리 완료 안내,JOBER0529_1642983544671,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요입니다. 제작을 완료하였으니 확인해 주세요!  하단 ""확인하기"" 버튼을 누르시면 바로 확인이 가능하세요.  ※ 상담 문의: 상담문의",서비스이용,이용안내/공지,[제작 완료 안내},JOBER0529_1642983575517,자세히 확인하기,,기타,공지/안내,,,
#{수신자명}님 견적서 내역에서 주문하기 버튼을 클릭하시어 주문을 진행해 주시기 바랍니다.  ▶견적번호: #{견적번호} ▶문의: #{문의}  감사합니다.,서비스이용,이용도구,견적서 확정 알림,JOBER0529_1642983609501,자세히 확인하기,,기타,신청,,,
"안녕하세요 #{수신자명}님, #{발신 스페이스}입니다.  모바일로 아래 ""예약 접수하기"" 버튼을 클릭하여 간편하게 예약접수를 하실 수 있습니다. 금액은 #{금액}이며, 당일 수납해 주시면 됩니다.  감사합니다.",서비스이용,신청접수,신청 안내,JOBER0529_1643015297050,자세히 확인하기,,서비스업,예약,,,
안녕하세요. 발신 스페이스 입니다. 수신자명님의 서비스 예약 확정 안내 드립니다.  <예약내역> ▶주소: 주소 ▶서비스 날짜/시간: 서비스 날짜/시간  문의사항은 아래 버튼을 클릭해 주세요.,예약,예약완료,서비스 예약 확정,JOBER0529_1642983222191,자세히 확인하기,,서비스업,예약,,,
#{수신자명}님 주문접수가 완료 되었습니다.  <주문정보> ▶주문품목: #{주문품목} ▶주문번호: #{주문번호}  감사합니다.,서비스이용,신청접수,주문 접수 완료 안내,JOBER0529_1642991185285,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 입니다.  #{수신자명} 고객님이 신청하신 #{서비스} 기간이 만료될 예정입니다.  자세한 내용은 아래 ""자세히보기"" 버튼을 클릭해주세요.  ※ 이 메시지는 고객님의 동의에 의해 전송되는 메시지입니다.",서비스이용,이용안내/공지,만료 안내,JOBER0529_1650508143218,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요. 휴무일 안내드립니다.  ▶ 기간: #{기간} ▶ 예약안내: #{예약안내},서비스이용,이용안내/공지,휴무일 안내,JOBER0529_1655974002509,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 보강 수업이 확정 처리되었습니다.  ▶ 수강자명 : #{수강자명} ▶ 보강수업 일자 : #{보강수업 일자} ▶ 보강수업 시간 : #{보강수업 시간}  감사합니다.  자세한 시간표는 아래 ""시간표 확인하기"" 를 클릭해주세요.",서비스이용,이용안내/공지,보강 수업 확정 안내,JOBER0529_1655974202612,자세히 확인하기,,교육,공지/안내,,,
"#{수신자명}님, 안녕하세요. #{발신 스페이스}입니다.  구매하신 상품은 마음에 드셨나요? #{발신 스페이스}에서 구매해 주셔서 감사합니다.  #{발신 스페이스}에서는 고객님의 소중한 후기를 기다리고 있습니다. 구매하신 상품에 대한 리뷰를 작성해주세요.  감사합니다.",구매,구매완료,리뷰 작성 요청,JOBER0529_1655977794431,자세히 확인하기,,소매업,회원 관리,,,
"안녕하세요 #{수신자명}님,  더 나은 서비스를 위해 고객 만족도 조사를 진행하고자 합니다. 아래 버튼을 눌러주시면 만족도 조사 페이지로 이동되오니, 많은 관심과 참여 부탁드립니다.",서비스이용,피드백 요청,고객 만족도 조사,JOBER0529_1656052985637,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 신청이 완료 되었습니다.  ▶ 신청 정보 : #{신청 정보} ▶ 신청자 : #{신청자}  아래 버튼을 누르시면 자세한 사항을 확인하실 수 있습니다.",서비스이용,신청접수,신청 완료 안내,JOBER0529_1656053070112,자세히 확인하기,,기타,신청,,,
"안녕하세요 #{수신자명}님, 제품을 주문해주셔서 감사합니다.  #{수신자명}님께 보다 나은 서비스를 제공하기 위해 #{수신자명}님의 의견을 공유해 주시면 이를 반영하여 개선된 서비스를 제공할 수 있도록 노력하겠습니다.  소중한 의견 부탁드립니다. 감사합니다.",서비스이용,피드백 요청,설문안내,JOBER0529_1656053359053,자세히 확인하기,,서비스업,회원 관리,,,
"안녕하세요. #{수신자명}님, 수강신청이 접수되었습니다.  <수강 신청 내역>  ▶ 수업과목 : #{수업과목} ▶ 수업일시 : #{수업일시} ▶ 수업기간 : #{수업기간}  수업 시작 날짜 전까지 결제하셔야 수강이 가능합니다. 감사합니다.",서비스이용,신청접수,수강 신청 접수 완료 안내,JOBER0529_1655974377659,자세히 확인하기,,교육,신청,,,
"안녕하세요 #{수신자명} 고객님, 요청하신 수선이 완료되었습니다. 방문하여 의류를 회수해주세요.  ▶ 고객명 : #{고객명} ▶ 수선품목 : #{수선품목} ▶ 영업시간 : #{영업시간}  항상 #{발신 스페이스}을 이용해주셔서 감사합니다.",서비스이용,방문서비스,수선 완료 안내,JOBER0529_1655974466946,자세히 확인하기,,서비스업,공지/안내,,,
#{수신자명}님의 #{시험명} 시험 결과가 발표되었습니다. 홈페이지에 방문하여 시험 결과 확인 부탁드립니다.  감사합니다.,서비스이용,이용안내/공지,시험 결과 안내,JOBER0529_1655975512508,자세히 확인하기,,교육,공지/안내,,,
안녕하세요. #{수신자명}님. 퇴실 시간이 임박하여 안내드립니다.  ▶ 지점 : #{지점} ▶ 아이디 : #{아이디} ▶ 퇴실 시간 : #{퇴실 시간}  이용해 주셔서 감사합니다.,서비스이용,방문서비스,퇴실 알림,JOBER0529_1655977200788,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}고객님, 이용 안내드립니다.  ▶ 입실일 : #{입실일} ▶ 퇴실일 : #{퇴실일} ▶ 주의사항 : #{주의사항}  주의사항 확인하시고 편안하게 이용해주세요. 감사합니다.",서비스이용,이용안내/공지,이용 안내,JOBER0529_1655977357229,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요. #{수신자명}님. 고객님의 상담 요청이 접수되었습니다.  ▶ 접수일자 : #{접수일자} ▶ 상담사 : #{상담사} ▶ 상담일정 : #{상담일정}  상담사가 배정되었습니다. 감사합니다.,서비스이용,신청접수,상담 신청 안내,JOBER0529_1655977584952,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요. #{수신자명}님. 주문해주신 상품의 배송이 완료되었습니다. 제품 사용에 참고하실 수 있는 설명서를 안내 드립니다.  ▶ 제품명 : #{제품명}  사용 중 문의사항이 있으신 경우 아래 홈페이지에 문의해주세요. 감사합니다.,배송,배송완료,제품 사용 방법 안내,JOBER0529_1655977686541,자세히 확인하기,,소매업,공지/안내,,,
안녕하세요. #{수신자명}고객님. 오늘 구매하신 제품은 어떠셨나요?  아래 설문조사를 통해 고객님의 솔직한 의견을 말씀해주세요.  고객님의 소중한 의견을 통해 좀 더 나은 서비스를 제공하도록 하겠습니다. 감사합니다.,서비스이용,피드백 요청,만족도 조사 안내,JOBER0529_1655977744550,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님의 #{서비스}가 완료되었습니다. 방문하셔서 찾아가주시기 바랍니다.  항상 #{발신 스페이스}를 찾아주셔서 감사합니다.  ▶ 찾아오시는 길: #{찾아오시는 길}",서비스이용,방문서비스,서비스 완료 알림,JOBER0529_1656053806545,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요 고객 서비스입니다.  고객 님께서 요청하신 방문 예약이 다음과 같이 접수되어 안내 드립니다.  ▶주소: #{주소} ▶접수내용: #{접수내용}  자세한 접수 내역을 보시려면 아래 버튼을 클릭해 주세요.,서비스이용,방문서비스,방문 일정 안내,JOBER0529_1656053886788,자세히 확인하기,,서비스업,예약,,,
"#{수신자명}님의 [#{시험명}] 시험 접수가 완료되었습니다. 시험 일정 및 장소 안내드리니, 확인하시고 착오 없이 시험 보시기 바랍니다.  ▶ 시험 : #{시험} ▶ 시험일 : #{시험일} ▶ 시험장소 : #{시험장소}  #{수신자명}님의 합격을 기원합니다.",서비스이용,신청접수,시험 접수 완료 안내,JOBER0529_1656224088442,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요. #{수신자명}님. 퇴실 안내해 드립니다.  ▶ 이용자명 : #{이용자명} ▶ 퇴실 예정일 : #{퇴실 예정일}  <퇴실 시 유의사항> #{유의사항}  방문해주셔서 감사드리며, 좋은 시간 보내시기 바랍니다.",서비스이용,방문서비스,퇴실 안내,JOBER0529_1656224173114,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요. 지원해 주셔서 감사합니다. 면접 일정 안내해 드리오니, 확인하시어 참석 부탁드립니다.  ▶ 면접일 : #{면접일} ▶ 면접 시간 : #{면접 시간} ▶ 면접 장소 : #{면접 장소}  추가 문의사항은 고객센터로 문의 부탁드립니다. 감사합니다.",서비스이용,방문서비스,면접 일정 안내,JOBER0529_1656224194665,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, 수선이 완료되었습니다.  ▶ 수선품목 : #{수선품목} ▶ 전화번호 : #{전화번호} ▶ 영업시간 : #{영업시간}  언제나 최고의 서비스를 제공하겠습니다. 항상 #{영업시간}을 이용해주셔서 감사합니다.",서비스이용,방문서비스,수선 완료 알림,JOBER0529_1656223887074,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 강의의 휴강 안내해 드립니다.  ▶ 휴강일 : #{휴강일}  위 기간내 모든 강의가 휴강되며 #{일자}부터 정상적인 수업이 진행됩니다. 강의 시간표는 홈페이지에서 확인해주세요.",서비스이용,이용안내/공지,휴강 안내,JOBER0529_1656320607735,자세히 확인하기,,교육,공지/안내,,,
"안녕하세요 #{수신자명}님, 티켓 발급이 완료되어 사용 방법 안내해 드립니다.  ▶ 티켓명 : #{티켓명} ▶ 사용 기간 : #{사용 기간} ▶ 티켓 번호 : #{티켓 번호} ▶ 사용 방법 : #{사용 방법}  ※ 시용 기간이 지나면 티켓 사용은 불가합니다.  ※ 이 메시지는 구매하신 티켓 발급 안내 메시지입니다.",서비스이용,이용안내/공지,티켓 안내,JOBER0529_1656222825275,자세히 확인하기,,기타,공지/안내,,,
안녕하세요입니다. 님께서 요청하신 정기검진 시기 안내입니다. 정기적인 검진으로 건강 관리하세요.  ▶ 검진일 :  ▶ 전화번호 :   검진 신청은 홈페이지에서 진행해주세요.  감사합니다.,서비스이용,이용안내/공지,정기 검진 안내,JOBER0529_1656222883571,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 수술 예약 안내드립니다.  ▶ 수술 날짜 : #{수술 날짜} ▶ 수술명 : #{수술명} ▶ 주의 사항 : #{주의 사항}  전달해드린 주의사항을 꼭 준수하시고 예약일에 뵙겠습니다.  방문 전 궁금하신 사항은 언제든 답변해드리겠습니다. 감사합니다.",예약,예약완료,수술 예약 안내,JOBER0529_1656222932956,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 경험해보신 샘플은 어떠셨나요? 어제 신청하신 샘플 안내드립니다.  ▶샘플이름: #{샘플이름} ▶수령가능기간: #{수령가능기간}  사용하신 샘플을 이용하시고, 후기를 남겨주시면 소정의 혜택을 지급해드립니다.  ▶ 혜택 : #{혜택}  감사합니다.  ※ 이 메시지는 샘플 안내를 신청하신 회원님들께 지급해드리는 혜택 안내 메시지입니다.",서비스이용,이용안내/공지,신청 샘플 안내,JOBER0529_1656223287484,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 현재 대기 시간은 #{대기시간}시간 입니다.  ▶ 접수 번호 : #{접수 번호} ▶ 상담 신청 내용 : #{상담 신청 내용}  근처에서 대기해 주시기바랍니다.  순서 호출시 자리에 없을 경우 예약이 취소될 수 있습니다.",서비스이용,방문서비스,대기 순서 안내,JOBER0529_1656223323350,자세히 확인하기,,서비스업,예약,,,
배차 결과 안내해 드립니다.  ▶ 출발지 및 도착지 : #{출발지 및 도착지} ▶ 기사님 연락처 : #{기사님 연락처} ▶ 요금 : #{요금}  이용해주셔서 감사합니다.,서비스이용,방문서비스,배차 안내,JOBER0529_1656223358013,자세히 확인하기,,서비스업,공지/안내,,,
안녕하세요. 발신 스페이스입니다. 수신자명님이 대여하신 대여물품가 아직 반납이 되지 않아 연락드립니다.  ▶ 대여 물품 : 대여물품 ▶ 반납 기한 : 반납 기한  반납 기한이 지나지 않게 반납해주시기 바랍니다. 감사합니다.,서비스이용,방문서비스,반납 알림,JOBER0529_1656223388435,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명} 고객님, 구매하신 티켓이 발급 완료되어 안내해 드립니다.  ▶ 공연명 : #{공연명} ▶ 공연 일시 : #{공연 일시} ▶ 티켓 번호 : #{티켓 번호} ▶ 유의 사항 : #{유의 사항}  공연 일시 및 유의 사항을 확인하시고 즐거운 관람되세요~  감사합니다.",서비스이용,이용안내/공지,공연 안내,JOBER0529_1656305142514,자세히 확인하기,,공연/문화,공지/안내,,,
"안녕하세요 #{수신자명}님,  문의가 정상적으로 접수되었습니다.  ▶ 문의서 제목 : #{문의서 제목} ▶ 문의 내용 : #{문의 내용} ▶ 답변 예정일 : #{답변 예정일}  최대한 빠른 시일 내에 답변하도록 노력하겠습니다. 감사합니다.",서비스이용,이용안내/공지,문의 접수 안내,JOBER0529_1656222733078,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 상담문의에 답변이 등록되었습니다.  ▶ 문의 제목 : #{문의 제목} ▶ 상담사 : #{상담사} ▶ 답변 내용 : #{답변 내용}  자세한 답변 내용은 홈페이지에서 확인해주세요.",서비스이용,이용안내/공지,문의 답변 완료 안내,JOBER0529_1656222762173,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님의 라이선스가 곧 만료 예정입니다.  ▶ 라이선스 : #{라이선스} ▶ 만료 예정일 : #{만료 예정일}  라이선스 갱신은 홈페이지에서 진행해주세요. 감사합니다.",법적고지,주문/예약,라이선스 갱신 안내,JOBER0529_1656222700679,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 신청하신 일정을 안내해 드립니다.  ▶ 신청일 : #{신청일} ▶ 참가일 : #{참가일} ▶ 참가 시 주의사항 : 홈페이지에서 신청해주세요.  ※ 이 메시지는 신청하신 회원들에게 전송되는 1회성 메시지입니다.",서비스이용,이용안내/공지,참가 일정 안내,JOBER0529_1656222366020,자세히 확인하기,,기타,공지/안내,,,
안녕하세요. #{수신자명} 고객님. 회원가입과 함께 즉시 사용 가능한 쿠폰이 발급되었습니다.  오직 #{발신 스페이스}에서만 만날 수 있는 제품들을 확인해보세요.  감사합니다.  ▶ 쿠폰명 : #{쿠폰명} ▶ 유효기간 : #{유효기간}  ※ 이 메시지는 고객님의 동의에 의해 지급된 쿠폰 안내 메시지입니다.,쿠폰/포인트,쿠폰발급,회원 가입 안내,JOBER0529_1655797963400,자세히 확인하기,,소매업,쿠폰,,,
인증 번호 안내해 드립니다.  아래 인증 번호를 입력해주세요.  ▶ 인증 번호 : #{인증 번호},서비스이용,이용안내/공지,인증 번호 알림,JOBER0529_1656221606280,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님,  휴무일 안내드립니다.  ▶  휴무기간: #{휴무기간}",서비스이용,이용안내/공지,휴무 안내,JOBER0529_1656054086308,자세히 확인하기,,기타,공지/안내,,,
"안녕하세요 #{수신자명}님, 이용권이 지급되었습니다.  ▶ 이용권 : #{이용권} ▶ 혜택 : #{혜택} ▶ 유효기간 : #{유효기간}  ※ 이 메시지는 고객님의 구매에 의해 지급된 이용권 안내 메시지입니다.",서비스이용,이용안내/공지,이용권 안내,JOBER0529_1656222300068,자세히 확인하기,,서비스업,공지/안내,,,
"안녕하세요 #{수신자명}님, 고객님께서 문의하신 매장 이전 안내드립니다. 보다 나은 서비스 제공을 위하여 매장을 이전하였습니다.  ▶ 매장 위치 : #{매장 위치}  ※ 중단 기간 및 내용은 상황에 따라 변경될 수 있습니다.  저희을 이용해주시는 고객님들께 감사드리며, 더욱 노력하는이 되겠습니다.",서비스이용,이용안내/공지,매장 이전 안내,JOBER0529_1656222333455,자세히 확인하기,,소매업,공지/안내,,,
"안녕하세요 #{수신자명}님, 상담 예약 시간이 변경 되어 안내해 드립니다.  ▶ 변경된 상담일시 : #{변경된 상담일시} ▶ 전화 번호 : #{전화 번호} ▶ 상담 내용 : #{상담 내용}  일정에 착오 없으시길 바랍니다. 감사합니다.",예약,예약완료,상담 시간 변경 안내,JOBER0529_1656222395111,자세히 확인하기,,서비스업,예약,,,
안녕하세요. #{수신자명}님 #{진료명} 진료 예약일입니다.  진료일 내원하여 면담이 필요합니다.  * 내원 전 연락주시면 진료시간 안내드리겠습니다.  <이용 안내> ▶ 운영 시간 : #{운영 시간} ▶ 정기 휴진일 : #{정기 휴진일}  감사합니다.,서비스이용,이용안내/공지,진료 예약 알림,JOBER0529_1656222905540,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 예약이 발생했습니다.  ▶ 예약 번호: #{예약 번호} ▶ 예약자: #{예약자} ▶ 상품명: #{상품명}  예약 상세 내역은 홈페이지에서 확인하실 수 있습니다. 예약 내역을 빨리 파악할수록 고객 응대에 도움이 됩니다.  오늘도 즐거운 하루 되세요.",예약,예약완료,사내 예약 알림,JOBER0529_1638768726068,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 고객님께서 신청하신 방송이 지금 시작합니다.   ▶ 방송명 : #{방송명} ▶ 방송 시작 시간 : #{방송 시작 시간}   ※ 신청하신 방송은 운영에 따라 시간 혹은 내용이 변경될 수 있습니다. ※ 신청하신 시간에 라이브로 진행되며, 라이브가 종료된 후에는 녹화된 방송으로 확인하실 수 있습니다.",서비스이용,이용안내/공지,방송 알림,JOBER0529_1638843425889,자세히 확인하기,,기타,공지/안내,,,
안녕하세요입니다. 님 서비스 일정 변경 안내드립니다.  ▶변경사항,서비스이용,이용안내/공지,일정 변경 알림,JOBER0529_1642744825468,자세히 확인하기,,서비스업,공지/안내,,,
주문이 #{주문건수}건 접수되었습니다. 주문 배송처리를 해주세요.,구매,구매완료,배송 요청,JOBER0529_1642743931659,자세히 확인하기,,소매업,공지/안내,,,
서비스 예약이 접수되었습니다. 관리자 페이지에서 예약을 승인해 주세요.,예약,예약상태,서비스 예약 접수 안내,JOBER0529_1642744623496,자세히 확인하기,,서비스업,예약,,,
서비스 예약이 확정되었습니다. 관리자 페이지에서 예약 내용을 확인해 주세요.,예약,예약완료,서비스 예약 확정 안내,JOBER0529_1642744650735,자세히 확인하기,,서비스업,예약,,,
서비스 예약이 취소되었습니다. 관리자 페이지에서 취소된 예약 내용을 확인해 주세요.,예약,예약취소,서비스 예약 취소 안내,JOBER0529_1642744679655,자세히 확인하기,,서비스업,예약,,,
"안녕하세요, 발신 스페이스입니다. 수신자명님 서비스 확정 안내드립니다.  ▶주소 : 주소  자세한 서비스 예약 내역은 아래 버튼을 클릭해 주세요.",서비스이용,이용안내/공지,배정 완료 알림,JOBER0529_1642744711535,자세히 확인하기,,서비스업,예약,,,
▶예약번호 : #{예약번호} ▶예약자 : #{예약자} ▶예약 일정 : #{예약 일정}  예약 상세 내역은 홈페이지에서 로그인 후 확인하실 수 있습니다.,예약,예약완료,고객 예약 취소,JOBER0529_1643014814492,자세히 확인하기,,서비스업,예약,,,
"안녕하세요 #{수신자명}님, 사내 일정을 알려드리오니, 일정 및 내용을 확인하시고 해당 되는 임직원 분들은 참여해주시기 바랍니다.  ▶ 일정명 : #{일정명} ▶ 일시 : #{일시} ▶ 상세 내용: #{상세 내용}  ※ 이 메시지는 임직원들 대상으로 전송되는 메시지입니다.",서비스이용,이용안내/공지,사내 일정 알림,JOBER0529_1656220720986,자세히 확인하기,,기타,공지/안내,,,
[#{서비스} 신청]  #{수신자명}님 #{서비스} 신청이 접수되었습니다. 아래 정보를 확인하시고 일치하지 않는 경우 문의해주세요.  <상품정보> ▶상품명: #{상품명} ▶신청일자: #{신청일자}  <신청자 정보> #{신청자 정보},서비스이용,신청접수,서비스 신청,JOBER0529_1643014737054,자세히 확인하기,,서비스업,신청,,,
서비스 신청이 성공적으로 완료되었습니다. 신청하신 동네에 서비스가 오픈되면 카카오 알림 톡으로 안내해 드릴게요.,서비스이용,이용안내/공지,서비스 신청 완료,JOBER0529_1642989895930,자세히 확인하기,,서비스업,신청,,,
#{서비스} 신청이 완료되었습니다.  당첨자는 #{당첨자발표}부터 개별 연락드릴 예정입니다. 신청 내역 변경 또는 취소 원하시는 분들은 반드시 신청 기간 내 예약 취소 및 재 신청 바랍니다.  ▶신청 기간 : #{신청 기간} ▶당첨자 발표 : #{당첨자 발표}부터 당첨자 개별 연락,서비스이용,신청접수,예약 신청 완료,JOBER0529_1642989982858,자세히 확인하기,,기타,신청,,,
"무료 사용기간이 만료 예정입니다.  일 후부터는 유료로 전환되며, 매월 같은 날짜에 원이 결제될 예정입니다.  문의사항이 있을 경우, 게시판 또는 카카오톡 채널로 접수 부탁드립니다.",서비스이용,이용안내/공지,[결제 미리 알림},JOBER0529_1642990226810,자세히 확인하기,,IT/소프트웨어,공지/안내,,,
[템플릿 내용] [서비스 신청완료]  #{수신자명}님 #{서비스} 신청이 완료되었습니다. 아래 정보를 확인해주세요.  <상품정보> ▶상품명: #{상품명} ▶이용기간: #{이용기간}  <유의사항> #{유의사항},서비스이용,신청접수,서비스 신청완료,JOBER0529_1642990538500,자세히 확인하기,,서비스업,신청,,,
[#{서비스} 신청취소]  #{수신자명}님 신청이 취소 완료되었습니다. 아래 정보를 확인해주세요.  <상품정보> ▶상품명: #{상품명} ▶취소일자: #{취소일자}  <신청자 정보> #{신청자 정보},서비스이용,이용안내/공지,서비스 신청취소,JOBER0529_1642990588948,자세히 확인하기,,서비스업,신청,,,
